Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Lapos Lenke";F;12b;1;;"2, 1, 5";;2;"1, 3";"4, 3, 4";"3, 3, 1";2.54
"Külö Virág";F;12b;3;"2, 3";"3, 5, 2, 4, 3";"1, 5";"5, 5, 3, 1";"4, 4, 2";"5, 2";3;3.25
"Víz Virág";F;12b;"2, 4, 1";"3, 1, 2, 3";"4, 4, 2, 4";"4, 1, 4, 3, 4";"1, 4, 1, 2, 4";2;"5, 2, 4";"1, 1, 4, 4";2.79
"Para Kálmán";M;12b;"2, 3, 2, 3";"1, 1, 1, 2";"3, 1";;"5, 3, 3";"5, 1, 5, 3, 3";5;"2, 5, 4, 2, 1";2.75
"Riz Emma";F;12b;;"4, 4";"1, 1, 4, 5";"4, 3, 4, 1";"2, 4, 5, 5, 4";5;"3, 1, 5, 5";3;3.48
"Szalmon Csaba";M;12b;;3;"4, 1";"3, 2, 4";"1, 1, 4";"2, 3, 1, 3, 2";"2, 2";"5, 4";2.61
"Bármi Mercédesz";F;12b;"4, 5, 5, 2, 1";"3, 5, 5, 4, 2";2;"2, 5, 5, 2";;"2, 4, 5, 3";"3, 2";4;3.41
"Kard Emma";F;12b;"2, 4";"2, 2, 4";"2, 1, 5";;2;"5, 5, 4, 5, 5";"3, 2";"5, 3";3.39
"Kasza Kálmán";M;12b;"1, 1, 3, 4, 1";3;"2, 1, 1, 1, 1";;"3, 5, 1, 1, 1";"4, 3, 1, 2";"2, 3, 5, 3";;2.21
"Szenyo Mónika";F;12b;"5, 4";"4, 4, 4, 4";"5, 4, 5, 3";5;5;"5, 1, 5, 1";1;4;3.83
"Szikla Áron";M;12b;;"4, 1, 1, 5, 4";1;"5, 3, 1, 4";"5, 1, 3, 1";;"1, 5, 2, 4";"3, 2, 3";2.81
"Dil Dóra";F;12b;4;;2;"3, 1, 1, 3, 4";4;"3, 2";"2, 1, 4, 5, 4";"4, 5, 2";3.00
"Ének Piroska";F;12b;"4, 3, 2, 5, 4";;"5, 5, 1";"3, 3, 4, 1, 1";"4, 1, 3, 1";;"1, 1, 3";;2.75
"Kard Ödön";M;12b;"2, 1, 1, 2, 5";"1, 2, 4, 1";"3, 4, 5, 1, 1";"5, 5";"4, 4";"5, 5, 2, 4";;"1, 2, 5, 2";2.96
Osztályátlag;;12b;2.82;2.83;2.79;3.11;2.92;3.25;3.03;3.03;2.97
