Név;Nem;Osztály;math;history;biology;chemistry;physics;informatics;alchemy;astrology;Átlag
"Remek Dóra";F;12c;;"4, 3, 3";;;"2, 2, 5";5;5;;3.63
"Fekete Mónika";F;12c;"1, 2, 4, 4, 2";"4, 4";"1, 2, 5, 4";"1, 2";"5, 2, 2, 5";4;"4, 3, 3, 5, 1";3;3.04
"Virra Anna";F;12c;"2, 3";"5, 3, 1";"4, 3";"1, 3";"2, 3, 4, 2";"4, 5, 5, 3";"2, 2, 2";4;3.00
"Szalmon Pál";M;12c;2;"2, 2, 2";3;"1, 4, 3, 2";1;;"5, 1";2;2.31
"Major Anna";F;12c;1;2;"5, 5, 3, 4";"3, 4, 5";2;;;"1, 1, 2, 1";2.79
"Kard Elemér";M;12c;"2, 5, 2";"1, 3";"2, 5";"4, 5, 3, 4";2;"2, 2, 2";"2, 1, 4, 1";5;2.85
"Pop Kálmán";M;12c;"2, 1";;"2, 5, 5, 2, 3";"2, 5, 3, 5";1;"5, 2, 1, 3, 5";"4, 1, 4";;3.05
"Szenyo Szilárd";M;12c;"2, 5";"2, 2, 4, 2";"4, 5, 1";"5, 1, 1";;"3, 3, 1, 4";"5, 2, 1";"3, 4, 3, 4, 4";2.96
"Szalmon Simon";M;12c;"1, 1, 5";"2, 4";1;"4, 1";"2, 5, 1, 3, 5";4;"5, 2";"3, 5, 1, 4, 1";2.86
"Remek Mercédesz";F;12c;;"2, 1";"1, 1, 4";2;"2, 5, 1, 3";"2, 1, 3";"4, 3";"4, 5, 2";2.56
"Fejet Anna";F;12c;5;;;5;"3, 4, 3";"3, 5, 5";"3, 5, 4";"3, 1, 2, 4";3.67
"Git Lenke";F;12c;"3, 1, 2, 1, 2";"2, 1, 3, 2, 2";"2, 1, 5, 5";"1, 1, 1, 3";"3, 4";"2, 1, 3";4;;2.29
Osztályátlag;;12c;2.44;2.52;3.21;2.83;2.90;3.14;3.03;2.88;2.87
